project,classification,relative_path,line,column,severity,rule,message,claim_boundary
Image,remaining,entry/src/main/ets/pages/example/ImageBorderRadiusExample.ets,46,7,warn,@performance/foreach-args-check,"For performance purposes, set keyGenerator for ForEach.",HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
Image,remaining,entry/src/main/ets/pages/example/ImageBorderRadiusExample.ets,123,9,warn,@performance/foreach-args-check,"For performance purposes, set keyGenerator for ForEach.",HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
Image,remaining,entry/src/main/ets/pages/example/ImageComprehensiveTest003.ets,702,7,suggestion,@performance/waterflow-data-preload-check,Preload data in the WaterFlow component for better scrolling experience.,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
Image,remaining,entry/src/main/ets/pages/example/ImageExample100.ets,440,7,suggestion,@performance/waterflow-data-preload-check,Preload data in the WaterFlow component for better scrolling experience.,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
Image,remaining,entry/src/main/ets/pages/example/ImageTextCompositeExample.ets,465,9,warn,@performance/foreach-args-check,"For performance purposes, set keyGenerator for ForEach.",HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
Image,remaining,entry/src/main/ets/pages/testcase/ImageTestcase013.ets,1175,15,suggestion,@performance/hp-arkui-remove-redundant-nest-container,Avoid redundant nesting,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
Image,introduced,entry/src/main/ets/pages/testcase/ImageTestcase015.ets,1221,15,suggestion,@performance/foreach-index-check,"For a sound rendering performance, avoid using the index as the return value or part of the return value for the keyGenerator parameter of ForEach.",HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
Image,remaining,entry/src/main/ets/pages/testcase/ImageTestcase_Containers.ets,511,7,suggestion,@performance/waterflow-data-preload-check,Preload data in the WaterFlow component for better scrolling experience.,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
acts_validator,introduced,entry/src/main/ets/pages/Wifi/WifiScan.ets,338,19,warn,@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component,Use reuseId to mark the components of different structures,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,11,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,14,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,15,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,19,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,20,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,21,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,25,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,26,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,27,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,42,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,43,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,49,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,53,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,58,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,65,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,82,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,83,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,91,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,93,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,95,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,96,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,97,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
flutter_embedding,remaining,flutter/index.ets,103,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
ohos_cordova,remaining,library/src/main/ets/utils/Index.ets,12,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
ohos_cordova,remaining,library/src/main/ets/utils/Index.ets,15,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
ohos_cordova,remaining,library/src/main/ets/utils/Index.ets,18,1,warn,@performance/hp-arkts-no-use-any-export-other,Do not use export * to export types and data defined in the other module,HomeCheck-defined residual alert; not an adjudication of semantic correctness or vulnerability status.
