order,blind_id,label,rationale
1,JDG-001,Correct,
2,JDG-002,Correct,
3,JDG-003,Correct,
4,JDG-004,Correct,
5,JDG-005,Correct,
6,JDG-006,Correct,
7,JDG-007,Correct,
8,JDG-008,Correct,
9,JDG-009,Correct,
10,JDG-010,Correct,
11,JDG-011,Correct,
12,JDG-012,Correct,
13,JDG-013,Correct,
14,JDG-014,Correct,
15,JDG-015,Correct,
16,JDG-016,Correct,
17,JDG-017,Correct,
18,JDG-018,Correct,
19,JDG-019,Correct,
20,JDG-020,Correct,
21,JDG-021,Correct,
22,JDG-022,Correct,
23,JDG-023,Correct,
24,JDG-024,Correct,
25,JDG-025,Correct,
26,JDG-026,Correct,
27,JDG-027,Correct,
28,JDG-028,Correct,
29,JDG-029,Correct,
30,JDG-030,Correct,
31,JDG-031,Correct,
32,JDG-032,Correct,
33,JDG-033,Correct,
34,JDG-034,Correct,
35,JDG-035,Correct,
36,JDG-036,Correct,
37,JDG-037,Correct,
38,JDG-038,Correct,
39,JDG-039,Correct,
40,JDG-040,Correct,
41,JDG-041,Correct,
42,JDG-042,Correct,
43,JDG-043,Correct,
44,JDG-044,Correct,
45,JDG-045,Correct,
46,JDG-046,Correct,
47,JDG-047,Correct,
48,JDG-048,Correct,
49,JDG-049,Correct,
50,JDG-050,Correct,
51,JDG-051,Correct,
52,JDG-052,Correct,
53,JDG-053,Correct,
54,JDG-054,Correct,
55,JDG-055,Correct,
56,JDG-056,Correct,
57,JDG-057,Correct,
58,JDG-058,Correct,
59,JDG-059,Correct,
60,JDG-060,Correct,
